全国地方公共団体コード,都道府県名,市区町村名,代表緯度,代表経度,南海トラフ巨大地震想定震度
13115,東京都,杉並区,35.6994,139.6364,震度5強
13116,東京都,豊島区,35.7264,139.7164,震度5強
13117,東京都,北区,35.7528,139.7336,震度5強
13118,東京都,荒川区,35.7358,139.7833,震度5強
13119,東京都,板橋区,35.7511,139.7089,震度5強
13120,東京都,練馬区,35.7356,139.6517,震度5強
13121,東京都,足立区,35.7750,139.8044,震度5強
13122,東京都,葛飾区,35.7433,139.8472,震度6弱
13123,東京都,江戸川区,35.7067,139.8683,震度6弱
13201,東京都,八王子市,35.6556,139.3390,震度5強
13300,東京都,大島町,34.7478,139.3592,震度6弱
14101,神奈川県,横浜市鶴見区,35.5083,139.6761,震度6弱
14102,神奈川県,横浜市神奈川区,35.4764,139.6297,震度6弱
14103,神奈川県,横浜市西区,35.4561,139.6178,震度6弱
14104,神奈川県,横浜市中区,35.4447,139.6411,震度6弱
14105,神奈川県,横浜市南区,35.4350,139.6225,震度6弱
14106,神奈川県,横浜市保土ケ谷区,35.4597,139.5961,震度5強
14107,神奈川県,横浜市磯子区,35.4039,139.6175,震度6弱
14108,神奈川県,横浜市金沢区,35.3364,139.6219,震度6弱
14109,神奈川県,横浜市港北区,35.5208,139.6322,震度6弱
14110,神奈川県,横浜市戸塚区,35.4000,139.5317,震度5強
14111,神奈川県,横浜市港南区,35.4008,139.5931,震度6弱
14112,神奈川県,横浜市旭区,35.4744,139.5447,震度5強
14113,神奈川県,横浜市緑区,35.5122,139.5297,震度5強
14114,神奈川県,横浜市瀬谷区,35.4678,139.4981,震度5強
14115,神奈川県,横浜市栄区,35.3653,139.5528,震度5強
14116,神奈川県,横浜市泉区,35.4181,139.4883,震度5強
14117,神奈川県,横浜市青葉区,35.5531,139.5386,震度5強
14118,神奈川県,横浜市都筑区,35.5408,139.5731,震度5強
14131,神奈川県,川崎市川崎区,35.5311,139.7025,震度6弱
14132,神奈川県,川崎市幸区,35.5528,139.6917,震度6弱
14133,神奈川県,川崎市中原区,35.5756,139.6583,震度6弱
14134,神奈川県,川崎市高津区,35.6000,139.6108,震度5強
14135,神奈川県,川崎市多摩区,35.6144,139.5542,震度5強
14136,神奈川県,川崎市宮前区,35.5806,139.5786,震度5強
14137,神奈川県,川崎市麻生区,35.6033,139.5083,震度5強
14151,神奈川県,相模原市緑区,35.5925,139.3242,震度5弱
14152,神奈川県,相模原市中央区,35.5714,139.3725,震度5強
14153,神奈川県,相模原市南区,35.5314,139.4264,震度5強
14204,神奈川県,小田原市,35.2558,139.1597,震度6強
15101,新潟県,新潟市北区,37.9172,139.1558,震度3
15102,新潟県,新潟市東区,37.9292,139.0808,震度3
15103,新潟県,新潟市中央区,37.9162,139.0364,震度3
15104,新潟県,新潟市江南区,37.8803,139.0719,震度3
15105,新潟県,新潟市秋葉区,37.7889,139.1172,震度3
15106,新潟県,新潟市南区,37.7600,139.0117,震度3
15107,新潟県,新潟市西区,37.8686,138.9725,震度3
15108,新潟県,新潟市西蒲区,37.7558,138.8872,震度3
16201,富山県,富山市,36.6953,137.2113,震度4
17201,石川県,金沢市,36.5947,136.6256,震度4
18201,福井県,福井市,36.0652,135.9811,震度5弱
19201,山梨県,甲府市,35.6642,138.5684,震度6弱
20201,長野県,長野市,36.6513,138.1810,震度5弱
20202,長野県,松本市,36.2380,137.9719,震度5強
20204,長野県,岡谷市,36.0592,138.0438,震度6弱
21201,岐阜県,岐阜市,35.4233,136.7607,震度6弱
21203,岐阜県,大垣市,35.3582,136.6124,震度6強
22101,静岡県,静岡市葵区,34.9756,138.3828,震度6強
22102,静岡県,静岡市駿河区,34.9572,138.3961,震度7
22103,静岡県,静岡市清水区,35.0150,138.4878,震度7
22131,静岡県,浜松市中央区,34.7108,137.7261,震度7
22132,静岡県,浜松市浜名区,34.8089,137.7583,震度7
22133,静岡県,浜松市天竜区,34.8719,137.8183,震度6強
22201,静岡県,沼津市,35.1004,138.8596,震度6強
22202,静岡県,熱海市,35.0963,139.0717,震度6強
22203,静岡県,三島市,35.1184,138.9185,震度6強
22205,静岡県,富士市,35.1613,138.6763,震度7
22208,静岡県,磐田市,34.7108,137.8516,震度7
22210,静岡県,袋井市,34.7505,137.9231,震度7
22211,静岡県,下田市,34.6793,138.9452,震度7
22212,静岡県,裾野市,35.1740,138.9080,震度6弱
22213,静岡県,湖西市,34.7176,137.4981,震度7
22214,静岡県,伊豆市,34.9723,138.9258,震度6強
22215,静岡県,御前崎市,34.6375,138.1278,震度7
22216,静岡県,菊川市,34.7602,138.0858,震度7
22220,静岡県,牧之原市,34.7397,138.2229,震度7
22301,静岡県,賀茂郡東伊豆町,34.7744,139.0411,震度6強
22302,静岡県,賀茂郡河津町,34.7478,138.9983,震度6強
22304,静岡県,賀茂郡南伊豆町,34.6547,138.8631,震度7
22305,静岡県,賀茂郡松崎町,34.7553,138.7778,震度7
22306,静岡県,賀茂郡西伊豆町,34.8094,138.7906,震度7
22325,静岡県,駿東郡清水町,35.0928,138.9058,震度6強
22326,静岡県,駿東郡長泉町,35.1383,138.8986,震度6強
22341,静岡県,榛原郡吉田町,34.7761,138.2519,震度7
22461,静岡県,周智郡森町,34.8364,137.9275,震度6強
23101,愛知県,名古屋市千種区,35.1708,136.9506,震度6弱
23102,愛知県,名古屋市東区,35.1808,136.9328,震度6弱
23103,愛知県,名古屋市北区,35.2119,136.9114,震度6弱
23104,愛知県,名古屋市西区,35.1956,136.8833,震度6強
23105,愛知県,名古屋市中村区,35.1711,136.8728,震度6強
23106,愛知県,名古屋市中区,35.1815,136.9064,震度6弱
23107,愛知県,名古屋市昭和区,35.1472,136.9356,震度6弱
23108,愛知県,名古屋市瑞穂区,35.1222,136.9344,震度6強
23109,愛知県,名古屋市熱田区,35.1206,136.9039,震度6強
23110,愛知県,名古屋市中川区,35.1389,136.8586,震度7
23111,愛知県,名古屋市港区,35.0864,136.8483,震度7
23112,愛知県,名古屋市南区,35.0964,136.9306,震度7
23113,愛知県,名古屋市守山区,35.1983,136.9933,震度6弱
23114,愛知県,名古屋市緑区,35.0636,136.9536,震度6強
23115,愛知県,名古屋市名東区,35.1772,137.0003,震度6弱
23116,愛知県,名古屋市天白区,35.1208,136.9806,震度6弱
23201,愛知県,豊橋市,34.7628,137.3817,震度7
23202,愛知県,岡崎市,34.9597,137.1740,震度6強
23203,愛知県,一宮市,35.3017,136.7955,震度6弱
23204,愛知県,瀬戸市,35.2231,137.0839,震度6弱
23205,愛知県,半田市,34.8925,136.9356,震度7
23206,愛知県,春日井市,35.2472,136.9717,震度6弱
23207,愛知県,豊川市,34.8219,137.3719,震度7
23208,愛知県,津島市,35.1781,136.7297,震度6強
23209,愛知県,碧南市,34.8875,136.9897,震度7
23210,愛知県,刈谷市,34.9889,137.0006,震度6強
23211,愛知県,豊田市,35.0833,137.1561,震度6弱
23212,愛知県,安城市,34.9589,137.0808,震度6強
23213,愛知県,西尾市,34.8633,137.0531,震度7
23214,愛知県,蒲郡市,34.8272,137.2197,震度7
23215,愛知県,犬山市,35.3800,136.9442,震度5強
23216,愛知県,常滑市,34.8889,136.8336,震度7
23217,愛知県,江南市,35.3347,136.8731,震度6弱
23219,愛知県,小牧市,35.2906,136.9114,震度6弱
23220,愛知県,稲沢市,35.2542,136.7825,震度6弱
23221,愛知県,新城市,34.8986,137.4972,震度6強
23222,愛知県,東海市,35.0219,136.9064,震度6強
23223,愛知県,大府市,35.0089,136.9622,震度6強
23224,愛知県,知多市,34.9944,136.8653,震度7
23225,愛知県,知立市,35.0056,137.0389,震度6強
23226,愛知県,尾張旭市,35.2164,137.0356,震度6弱
23227,愛知県,高浜市,34.9275,136.9922,震度7
23228,愛知県,岩倉市,35.2781,136.8736,震度6弱
23229,愛知県,豊明市,35.0531,137.0125,震度6強
23230,愛知県,日進市,35.1319,137.0400,震度6弱
23231,愛知県,田原市,34.6708,137.2661,震度7
23232,愛知県,愛西市,35.1481,136.7267,震度6強
23233,愛知県,清須市,35.2008,136.8522,震度6強
23234,愛知県,北名古屋市,35.2417,136.8656,震度6弱
23235,愛知県,弥富市,35.1142,136.7242,震度7
23236,愛知県,みよし市,35.0886,137.0728,震度6弱
23237,愛知県,あま市,35.1953,136.8042,震度6強
23238,愛知県,長久手市,35.1833,137.0486,震度6弱
23302,愛知県,愛知郡東郷町,35.0933,137.0492,震度6弱
23342,愛知県,西春日井郡豊山町,35.2503,136.9083,震度6弱
23361,愛知県,丹羽郡大口町,35.3219,136.9083,震度6弱
23362,愛知県,丹羽郡扶桑町,35.3589,136.9142,震度6弱
23424,愛知県,海部郡大治町,35.1764,136.8228,震度6強
23425,愛知県,海部郡蟹江町,35.1333,136.7931,震度7
23427,愛知県,海部郡飛島村,35.0742,136.8089,震度7
23441,愛知県,知多郡阿久比町,34.9297,136.9189,震度7
23442,愛知県,知多郡東浦町,34.9725,136.9686,震度7
23445,愛知県,知多郡南知多町,34.7214,136.9406,震度7
23446,愛知県,知多郡美浜町,34.7797,136.8925,震度7
23447,愛知県,知多郡武豊町,34.8508,136.9189,震度7
23501,愛知県,額田郡幸田町,34.8617,137.1644,震度7
23561,愛知県,北設楽郡設楽町,35.0833,137.5750,震度5強
23562,愛知県,北設楽郡東栄町,35.0764,137.6978,震度6弱
23563,愛知県,北設楽郡豊根村,35.1436,137.7128,震度5強
24201,三重県,津市,34.7303,136.5086,震度7
24202,三重県,四日市市,34.9650,136.6236,震度7
24203,三重県,伊勢市,34.4914,136.7094,震度7
24204,三重県,松阪市,34.5781,136.5311,震度7
24205,三重県,桑名市,35.0647,136.6858,震度7
24207,三重県,鈴鹿市,34.8822,136.5847,震度7
24208,三重県,名張市,34.6242,136.0964,震度6弱
24209,三重県,尾鷲市,34.0722,136.1911,震度7
24210,三重県,亀山市,34.8544,136.4522,震度6強
24211,三重県,鳥羽市,34.4831,136.8428,震度7
24212,三重県,熊野市,33.8906,136.0989,震度7
24214,三重県,いなべ市,35.1583,136.5161,震度6弱
24215,三重県,志摩市,34.3314,136.8317,震度7
24216,三重県,伊賀市,34.7667,136.1306,震度6弱
24303,三重県,桑名郡木曽岬町,35.0806,136.7381,震度7
24324,三重県,員弁郡東員町,35.0758,136.5878,震度6強
24341,三重県,三重郡菰野町,35.0117,136.5147,震度6弱
24343,三重県,三重郡朝日町,35.0381,136.6669,震度7
24344,三重県,三重郡川越町,35.0175,136.6694,震度7
24441,三重県,多気郡多気町,34.5167,136.5417,震度7
24442,三重県,多気郡明和町,34.5447,136.6214,震度7
24443,三重県,多気郡大台町,34.3897,136.4097,震度6強
24461,三重県,度会郡玉城町,34.4883,136.6317,震度7
24462,三重県,度会郡度会町,34.4339,136.6272,震度7
24470,三重県,度会郡大紀町,34.3125,136.4253,震度7
24471,三重県,度会郡南伊勢町,34.3039,136.6719,震度7
24543,三重県,北牟婁郡紀北町,34.1333,136.3333,震度7
24561,三重県,南牟婁郡御浜町,33.8089,136.0536,震度7
24562,三重県,南牟婁郡紀宝町,33.7225,135.9864,震度7
25201,滋賀県,大津市,35.0044,135.8686,震度6弱
25202,滋賀県,彦根市,35.2742,136.2594,震度5強
26101,京都府,京都市北区,35.0417,135.7533,震度5強
26102,京都府,京都市上京区,35.0278,135.7547,震度6弱
26103,京都府,京都市左京区,35.0353,135.7817,震度5強
26104,京都府,京都市中京区,35.0117,135.7578,震度6弱
26105,京都府,京都市東山区,35.0000,135.7736,震度6弱
26106,京都府,京都市下京区,34.9864,135.7575,震度6弱
26107,京都府,京都市南区,34.9753,135.7525,震度6弱
26108,京都府,京都市右京区,35.0147,135.7119,震度6弱
26109,京都府,京都市伏見区,34.9356,135.7619,震度6弱
26110,京都府,京都市山科区,34.9739,135.8164,震度6弱
26111,京都府,京都市西京区,34.9819,135.6911,震度6弱
27102,大阪府,大阪市都島区,34.7008,135.5303,震度6強
27103,大阪府,大阪市福島区,34.6931,135.4744,震度6強
27104,大阪府,大阪市此花区,34.6828,135.4522,震度6強
27109,大阪府,大阪市西区,34.6758,135.4914,震度6強
27117,大阪府,大阪市港区,34.6575,135.4608,震度6強
27118,大阪府,大阪市大正区,34.6508,135.4739,震度6強
27119,大阪府,大阪市天王寺区,34.6569,135.5208,震度6強
27120,大阪府,大阪市浪速区,34.6564,135.4967,震度6強
27121,大阪府,大阪市西淀川区,34.7119,135.4592,震度6強
27122,大阪府,大阪市東淀川区,34.7408,135.5342,震度6強
27123,大阪府,大阪市東成区,34.6692,135.5475,震度6強
27124,大阪府,大阪市生野区,34.6558,135.5414,震度6強
27125,大阪府,大阪市旭区,34.7214,135.5433,震度6強
27126,大阪府,大阪市城東区,34.7006,135.5469,震度6強
27127,大阪府,大阪市阿倍野区,34.6389,135.5186,震度6強
27128,大阪府,大阪市住吉区,34.6014,135.5122,震度6強
27129,大阪府,大阪市東住吉区,34.6222,135.5292,震度6強
27130,大阪府,大阪市西成区,34.6358,135.4961,震度6強
27131,大阪府,大阪市淀川区,34.7208,135.4839,震度6強
27132,大阪府,大阪市鶴見区,34.7039,135.5703,震度6強
27133,大阪府,大阪市住之江区,34.6092,135.4744,震度6強
27134,大阪府,大阪市平野区,34.6206,135.5508,震度6強
27135,大阪府,大阪市北区,34.7058,135.5003,震度6強
27136,大阪府,大阪市中央区,34.6819,135.5103,震度6強
27141,大阪府,堺市堺区,34.5728,135.4828,震度6強
27142,大阪府,堺市中区,34.5367,135.5008,震度6強
27143,大阪府,堺市東区,34.5328,135.5381,震度6強
27144,大阪府,堺市西区,34.5350,135.4608,震度6強
27145,大阪府,堺市南区,34.4881,135.4939,震度6強
27146,大阪府,堺市北区,34.5664,135.5158,震度6強
27147,大阪府,堺市美原区,34.5503,135.5564,震度6強
27202,大阪府,岸和田市,34.4600,135.3725,震度6強
27203,大阪府,豊中市,34.7814,135.4689,震度6弱
27204,大阪府,池田市,34.8217,135.4283,震度5強
27205,大阪府,吹田市,34.7594,135.5169,震度6弱
27206,大阪府,泉大津市,34.5022,135.4058,震度6強
27207,大阪府,高槻市,34.8483,135.6178,震度6弱
27208,大阪府,貝塚市,34.4367,135.3581,震度6強
27209,大阪府,守口市,34.7336,135.5636,震度6強
27210,大阪府,枚方市,34.8139,135.6517,震度6弱
27211,大阪府,茨木市,34.8161,135.5683,震度6弱
27212,大阪府,八尾市,34.6267,135.6008,震度6強
27213,大阪府,泉佐野市,34.4094,135.3219,震度6強
27214,大阪府,富田林市,34.5000,135.6000,震度6強
27215,大阪府,寝屋川市,34.7656,135.6272,震度6弱
27216,大阪府,河内長野市,34.4558,135.5606,震度6弱
27217,大阪府,松原市,34.5786,135.5528,震度6強
27218,大阪府,大東市,34.7125,135.6242,震度6強
27219,大阪府,和泉市,34.4842,135.4950,震度6強
27220,大阪府,箕面市,34.8269,135.4703,震度5強
27221,大阪府,柏原市,34.5794,135.6272,震度6強
27222,大阪府,羽曳野市,34.5572,135.6061,震度6強
27223,大阪府,門真市,34.7303,135.5861,震度6強
27224,大阪府,摂津市,34.7786,135.5622,震度6弱
27225,大阪府,高石市,34.5222,135.4386,震度6強
27226,大阪府,藤井寺市,34.5728,135.5961,震度6強
27227,大阪府,東大阪市,34.6794,135.6008,震度6強
27228,大阪府,泉南市,34.3672,135.2861,震度6強
27229,大阪府,四條畷市,34.7336,135.6417,震度6弱
27230,大阪府,交野市,34.7878,135.6886,震度6弱
27231,大阪府,大阪狭山市,34.5033,135.5539,震度6強
27232,大阪府,阪南市,34.3253,135.2392,震度6強
27301,大阪府,三島郡島本町,34.8833,135.6667,震度5強
27321,大阪府,豊能郡豊能町,34.9389,135.4853,震度5強
27322,大阪府,豊能郡能勢町,34.9781,135.4192,震度5弱
27341,大阪府,泉北郡忠岡町,34.4925,135.3942,震度6強
27361,大阪府,泉南郡熊取町,34.4022,135.3564,震度6強
27362,大阪府,泉南郡田尻町,34.3989,135.2908,震度6強
27366,大阪府,泉南郡岬町,34.3175,135.1583,震度6強
27381,大阪府,南河内郡太子町,34.5208,135.6475,震度6強
27382,大阪府,南河内郡河南町,34.4936,135.6322,震度6強
27383,大阪府,南河内郡千早赤阪村,34.4589,135.6200,震度6弱
28101,兵庫県,神戸市東灘区,34.7206,135.2678,震度6強
28102,兵庫県,神戸市灘区,34.7144,135.2383,震度6強
28105,兵庫県,神戸市兵庫区,34.6731,135.1661,震度6強
28106,兵庫県,神戸市長田区,34.6689,135.1472,震度6強
28107,兵庫県,神戸市須磨区,34.6464,135.1278,震度6強
28108,兵庫県,神戸市垂水区,34.6300,135.0567,震度6強
28109,兵庫県,神戸市北区,34.7578,135.1517,震度6弱
28110,兵庫県,神戸市中央区,34.6913,135.1830,震度6強
28111,兵庫県,神戸市西区,34.6828,134.9786,震度6弱
28201,兵庫県,姫路市,34.8153,134.6853,震度6弱
28202,兵庫県,尼崎市,34.7172,135.4047,震度6強
28203,兵庫県,明石市,34.6431,134.9972,震度6弱
28204,兵庫県,西宮市,34.7378,135.3414,震度6弱
28205,兵庫県,洲本市,34.3469,134.9019,震度6強
28206,兵庫県,芦屋市,34.7264,135.3047,震度6弱
28207,兵庫県,伊丹市,34.7858,135.4014,震度6弱
28210,兵庫県,加古川市,34.7564,134.8394,震度6弱
28213,兵庫県,宝塚市,34.8094,135.3564,震度5強
28228,兵庫県,南あわじ市,34.2817,134.7869,震度7
28229,兵庫県,淡路市,34.4406,134.9075,震度6弱
29201,奈良県,奈良市,34.6853,135.8328,震度6弱
29202,奈良県,大和高田市,34.5147,135.7369,震度6強
29203,奈良県,大和郡山市,34.6492,135.7825,震度6弱
29204,奈良県,天理市,34.5972,135.8364,震度6弱
29205,奈良県,橿原市,34.5103,135.7928,震度6強
29206,奈良県,桜井市,34.5158,135.8458,震度6弱
29207,奈良県,五條市,34.3517,135.6961,震度6弱
29208,奈良県,御所市,34.4608,135.7419,震度6強
29209,奈良県,生駒市,34.6936,135.7003,震度5強
29210,奈良県,香芝市,34.5428,135.7042,震度6弱
29211,奈良県,葛城市,34.4922,135.7278,震度6強
29212,奈良県,宇陀市,34.5283,135.9611,震度5強
30201,和歌山県,和歌山市,34.2261,135.1675,震度7
30202,和歌山県,海南市,34.1542,135.2072,震度7
30203,和歌山県,橋本市,34.3167,135.6106,震度6弱
30204,和歌山県,有田市,34.0806,135.1278,震度7
30205,和歌山県,御坊市,33.8911,135.1550,震度7
30206,和歌山県,田辺市,33.7297,135.3769,震度7
30207,和歌山県,新宮市,33.7242,135.9928,震度7
30208,和歌山県,紀の川市,34.2708,135.3622,震度6強
30209,和歌山県,岩出市,34.2581,135.3081,震度6強
30341,和歌山県,海草郡紀美野町,34.1553,135.3192,震度6強
30361,和歌山県,伊都郡かつらぎ町,34.2981,135.5036,震度6強
30362,和歌山県,伊都郡九度山町,34.2883,135.5583,震度6弱
30366,和歌山県,伊都郡高野町,34.2139,135.5881,震度6弱
30381,和歌山県,有田郡湯浅町,34.0375,135.1803,震度7
30382,和歌山県,有田郡広川町,34.0175,135.1764,震度7
30383,和歌山県,有田郡有田川町,34.0722,135.2131,震度7
30390,和歌山県,日高郡美浜町,33.8925,135.1469,震度7
30391,和歌山県,日高郡日高町,33.9189,135.1517,震度7
30392,和歌山県,日高郡由良町,33.9575,135.1114,震度7
30401,和歌山県,日高郡印南町,33.8197,135.2164,震度7
30404,和歌山県,日高郡みなべ町,33.7781,135.3253,震度7
30406,和歌山県,日高郡日高川町,33.9011,135.2425,震度7
30421,和歌山県,西牟婁郡白浜町,33.6825,135.3475,震度7
30422,和歌山県,西牟婁郡上富田町,33.7225,135.4208,震度7
30424,和歌山県,西牟婁郡すさみ町,33.5508,135.4950,震度7
30441,和歌山県,東牟婁郡那智勝浦町,33.6267,135.9406,震度7
30442,和歌山県,東牟婁郡太地町,33.5936,135.9472,震度7
30443,和歌山県,東牟婁郡古座川町,33.5303,135.8039,震度7
30446,和歌山県,東牟婁郡北山村,33.9589,135.9658,震度6弱
30449,和歌山県,東牟婁郡串本町,33.4736,135.7828,震度7
31201,鳥取県,鳥取市,35.5011,134.2350,震度3
32201,島根県,松江市,35.4722,133.0506,震度3
33101,岡山県,岡山市北区,34.6617,133.9350,震度5強
33102,岡山県,岡山市中区,34.6631,133.9589,震度6弱
33103,岡山県,岡山市東区,34.6547,134.0044,震度6弱
33104,岡山県,岡山市南区,34.5936,133.9142,震度6弱
33202,岡山県,倉敷市,34.5850,133.7719,震度6弱
33203,岡山県,津山市,35.0686,134.0042,震度4
33204,岡山県,玉野市,34.4925,133.9464,震度6弱
33205,岡山県,笠岡市,34.5089,133.5058,震度6弱
33207,岡山県,井原市,34.5961,133.4636,震度5強
33208,岡山県,総社市,34.6739,133.7436,震度5強
33209,岡山県,高梁市,34.7958,133.6169,震度5弱
33210,岡山県,新見市,35.0642,133.4700,震度4
33211,岡山県,備前市,34.7431,134.1883,震度5強
33212,岡山県,瀬戸内市,34.6186,134.0950,震度6弱
33213,岡山県,赤磐市,34.7533,134.0208,震度5強
33214,岡山県,真庭市,35.0747,133.7436,震度4
33215,岡山県,美作市,35.0069,134.1508,震度4
33216,岡山県,浅口市,34.5264,133.5856,震度6弱
33346,岡山県,和気郡和気町,34.7967,134.1508,震度5弱
33423,岡山県,都窪郡早島町,34.6042,133.8267,震度6弱
33445,岡山県,浅口郡里庄町,34.5097,133.5550,震度5強
33461,岡山県,小田郡矢掛町,34.6294,133.5889,震度5強
33586,岡山県,真庭郡新庄村,35.1833,133.5667,震度3
33606,岡山県,苫田郡鏡野町,35.1311,133.9536,震度4
33622,岡山県,勝田郡勝央町,35.0506,134.1169,震度4
33623,岡山県,勝田郡奈義町,35.1228,134.1803,震度4
33643,岡山県,英田郡西粟倉村,35.1583,134.3361,震度3
33663,岡山県,久米郡久米南町,34.9319,133.9786,震度5弱
33666,岡山県,久米郡美咲町,34.9875,133.9806,震度4
34101,広島県,広島市中区,34.3964,132.4594,震度5強
34102,広島県,広島市東区,34.4050,132.4839,震度5強
34103,広島県,広島市南区,34.3775,132.4681,震度5強
34104,広島県,広島市西区,34.3889,132.4328,震度5強
34105,広島県,広島市安佐南区,34.4481,132.4700,震度5強
34106,広島県,広島市安佐北区,34.5186,132.5111,震度4
34107,広島県,広島市安芸区,34.3606,132.5328,震度5強
34108,広島県,広島市佐伯区,34.3644,132.3667,震度5強
34202,兵庫県,呉市,34.2489,132.5653,震度6弱
34203,広島県,竹原市,34.3353,132.9103,震度5強
34204,広島県,三原市,34.4039,133.0803,震度5強
34205,広島県,尾道市,34.4089,133.2047,震度5強
34207,広島県,福山市,34.4858,133.3622,震度6弱
34208,広島県,府中市,34.5683,133.2383,震度5弱
34209,広島県,三次市,34.8089,132.8533,震度4
34210,広島県,庄原市,34.8589,133.0181,震度4
34211,広島県,大竹市,34.2464,132.2228,震度5強
34212,広島県,東広島市,34.4258,132.7428,震度5強
34213,広島県,廿日市市,34.3589,132.3325,震度5強
34214,広島県,安芸高田市,34.6653,132.7058,震度4
34215,広島県,江田島市,34.2503,132.4839,震度6弱
34302,広島県,安芸郡府中町,34.3972,132.5036,震度5強
34304,広島県,安芸郡海田町,34.3689,132.5336,震度5強
34307,広島県,安芸郡熊野町,34.3389,132.5858,震度5強
34309,広島県,安芸郡坂町,34.3411,132.5117,震度5強
34368,広島県,山県郡安芸太田町,34.6067,132.2358,震度4
34369,広島県,山県郡北広島町,34.7214,132.5336,震度4
34462,広島県,豊田郡大崎上島町,34.2472,132.8942,震度6弱
34501,広島県,世羅郡世羅町,34.5889,133.0567,震度5弱
34545,広島県,神石郡神石高原町,34.7303,133.2750,震度4
35201,山口県,下関市,33.9578,130.9414,震度5弱
35202,山口県,宇部市,33.9514,131.2467,震度5強
35203,山口県,山口市,34.1783,131.4739,震度5弱
35204,山口県,萩市,34.4089,131.3992,震度4
35205,山口県,防府市,34.0522,131.5683,震度5強
35206,山口県,下松市,34.0136,131.8703,震度5強
35207,山口県,岩国市,34.1678,132.2189,震度5強
35208,山口県,光市,33.9589,131.9442,震度5強
35210,山口県,長門市,34.3703,131.1828,震度4
35211,山口県,柳井市,33.9686,132.1008,震度5強
35212,山口県,美祢市,34.1653,131.2058,震度4
35213,山口県,周南市,34.0531,131.8058,震度5強
35215,山口県,山陽小野田市,34.0353,131.1839,震度5強
35305,山口県,大島郡周防大島町,33.9264,132.2228,震度6弱
35321,山口県,玖珂郡和木町,34.1867,132.2325,震度5強
35341,山口県,熊毛郡上関町,33.8289,132.0089,震度6弱
35343,山口県,熊毛郡田布施町,33.9500,132.0436,震度5強
35344,山口県,熊毛郡平生町,33.9358,132.0725,震度5強
