ID,Name JA,Name En,Category JA,States Names,ISO Codes,Region,Latitude,Longitude,Main Image,Main Image Caption EN,UNESCO URL
45,イヴァノヴォの岩窟教会群,Rock-Hewn Churches of Ivanovo,文化遺産,Bulgaria,BG,Europe and North America,43.694858,25.987893,https://whc.unesco.org/document/107949,Rock-Hewn Churches of Ivanovo,https://whc.unesco.org/en/list/45
55,レーロース鉱山都市とその周辺,Røros Mining Town and the Circumference,文化遺産,Norway,NO,Europe and North America,62.57388889,11.38555556,https://whc.unesco.org/document/107956,Røros Mining Town and the Circumference (Norway),https://whc.unesco.org/en/list/55
58,ウルネスの木造教会,Urnes Stave Church,文化遺産,Norway,NO,Europe and North America,61.29825949,7.322678289,https://whc.unesco.org/document/130607,Urnes Stave Church (Norway),https://whc.unesco.org/en/list/58
59,ブリッゲン,Bryggen,文化遺産,Norway,NO,Europe and North America,60.39722,5.32306,https://whc.unesco.org/document/107984,Bryggen,https://whc.unesco.org/en/list/59
63,ヴィルンガ国立公園,Virunga National Park,自然遺産,Democratic Republic of the Congo,CD,Africa,0.916666667,29.16666667,https://whc.unesco.org/document/107990,Virunga National Park,https://whc.unesco.org/en/list/63
64,ティカル国立公園,Tikal National Park,複合遺産,Guatemala,GT,Latin America and the Caribbean,17.21666667,-89.61666667,https://whc.unesco.org/document/108036,Tikal National Park (Guatemala),https://whc.unesco.org/en/list/64
65,アンティグァ・グアテマラ,Antigua Guatemala,文化遺産,Guatemala,GT,Latin America and the Caribbean,14.556504,-90.73381,https://whc.unesco.org/document/121305,Antigua Guatemala (Guatemala),https://whc.unesco.org/en/list/65
71,恐竜州立自然公園,Dinosaur Provincial Park,自然遺産,Canada,CA,Europe and North America,50.76777778,-111.4922222,https://whc.unesco.org/document/108070,Dinosaur Provincial Park,https://whc.unesco.org/en/list/71
72,クルアーニー/ランゲル-セント・イライアス/グレーシャー・ベイ/タッチェンシニー-アルセク,Kluane / Wrangell-St. Elias / Glacier Bay / Tatshenshini-Alsek,自然遺産,"Canada,United States of America","CA, US",Europe and North America,61.19758333,-140.9919722,https://whc.unesco.org/document/131166,"Kluane / Wrangell-St. Elias / Glacier Bay / Tatshenshini-Alsek (Canada, United States of America)",https://whc.unesco.org/en/list/72
75,グランド・キャニオン国立公園,Grand Canyon National Park,自然遺産,United States of America,US,Europe and North America,36.10083333,-112.0905556,https://whc.unesco.org/document/108106,Grand Canyon National Park (United States of America),https://whc.unesco.org/en/list/75
76,エヴァグレーズ国立公園,Everglades National Park,自然遺産,United States of America,US,Europe and North America,25.55444444,-80.99638889,https://whc.unesco.org/document/108142,Everglades National Park (United States of America),https://whc.unesco.org/en/list/76
78,独立記念館,Independence Hall,文化遺産,United States of America,US,Europe and North America,39.94861111,-75.15,https://whc.unesco.org/document/126679,Independence Hall,https://whc.unesco.org/en/list/78
79,パフォス,Paphos,文化遺産,Cyprus,CY,Europe and North America,34.75833,32.40556,https://whc.unesco.org/document/108160,Paphos (Cyprus),https://whc.unesco.org/en/list/79
80,モン-サン-ミシェルとその湾,Mont-Saint-Michel and its Bay,文化遺産,France,FR,Europe and North America,48.63556,-1.51056,https://whc.unesco.org/document/120474,Mont-Saint-Michel and its Bay (France),https://whc.unesco.org/en/list/80
81,シャルトル大聖堂,Chartres Cathedral,文化遺産,France,FR,Europe and North America,48.4475,1.487222222,https://whc.unesco.org/document/108250,Chartres Cathedral (France),https://whc.unesco.org/en/list/81
83,ヴェルサイユの宮殿と庭園,Palace and Park of Versailles,文化遺産,France,FR,Europe and North America,48.805,2.119444444,https://whc.unesco.org/document/108336,Palace and Park of Versailles (France),https://whc.unesco.org/en/list/83
84,ヴェズレーの教会と丘,"Vézelay, Church and Hill",文化遺産,France,FR,Europe and North America,47.46638889,3.748333333,https://whc.unesco.org/document/121204,"Vézelay, Church and Hill (France)",https://whc.unesco.org/en/list/84
85,ヴェゼール渓谷の洞窟壁画群,Prehistoric Sites and Decorated Caves of the Vézère Valley,文化遺産,France,FR,Europe and North America,45.0575,1.17,https://whc.unesco.org/document/108425,Lascaux cave. Prehistoric Sites and Decorated Caves of the Vézère Valley (France),https://whc.unesco.org/en/list/85
86,メンフィスとその墓地遺跡-ギーザからダハシュールまでのピラミッド地帯,Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur,文化遺産,Egypt,EG,Arab States,29.97604,31.13041,https://whc.unesco.org/document/108485,Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur (Egypt),https://whc.unesco.org/en/list/86
87,古代都市テーベとその墓地遺跡,Ancient Thebes with its Necropolis,文化遺産,Egypt,EG,Arab States,25.73333,32.6,https://whc.unesco.org/document/108488,"Karnak Temple, entrance",https://whc.unesco.org/en/list/87
88,アブ・シンベルからフィラエまでのヌビア遺跡群,Nubian Monuments from Abu Simbel to Philae,文化遺産,Egypt,EG,Arab States,22.33722222,31.62580556,https://whc.unesco.org/document/108536,Ramses II temple,https://whc.unesco.org/en/list/88
89,歴史都市カイロ,Historic Cairo,文化遺産,Egypt,EG,Arab States,30.05,31.26111,https://whc.unesco.org/document/108599,"General View, mosques. Historic Cairo (Egypt)",https://whc.unesco.org/en/list/89
90,アブ・メナ,Abu Mena,文化遺産,Egypt,EG,Arab States,30.83583333,29.66666667,https://whc.unesco.org/document/131476,Abu Mena (Egypt),https://whc.unesco.org/en/list/90
91,ローマ歴史地区(フォロ・ロマーノ、アウグストゥスの霊廟、ハドリアヌスの霊廟、パンテオン、トラヤヌスの記念柱、マルクス・アウレリウスの記念柱、コロッセウムなどを含む)、教皇領とサン・パオロ・フォーリ・レ・ムーラ大聖堂,"Historic Centre of Rome, the Properties of the Holy See in that City Enjoying Extraterritorial Rights and San Paolo Fuori le Mura",文化遺産,"Italy,Holy See","IT, VA",Europe and North America,41.89022222,12.49230556,https://whc.unesco.org/document/131966,"Historic Centre of Rome, the Properties of the Holy See in that City Enjoying Extraterritorial Rights and San Paolo Fuori le Mura",https://whc.unesco.org/en/list/91
93,レオナルド・ダ・ヴィンチの「最後の晩餐」があるサンタ・マリア・デッレ・グラツィエ教会とドメニコ会修道院,Church and Dominican Convent of Santa Maria delle Grazie with “The Last Supper” by Leonardo da Vinci,文化遺産,Italy,IT,Europe and North America,45.466,9.171,https://whc.unesco.org/document/222605,Church and Dominican Convent of Santa Maria delle Grazie with “The Last Supper” by Leonardo da Vinci,https://whc.unesco.org/en/list/93
94,ヴァルカモニカの岩絵群,Rock Drawings in Valcamonica,文化遺産,Italy,IT,Europe and North America,45.95705556,10.29733333,https://whc.unesco.org/document/108748,Rock Drawings in Valcamonica (Italy),https://whc.unesco.org/en/list/94
95,ドゥブロヴニク旧市街,Old City of Dubrovnik,文化遺産,Croatia,HR,Europe and North America,42.64142111,18.10886111,https://whc.unesco.org/document/108767,Old City of Dubrovnik (Croatia),https://whc.unesco.org/en/list/95
96,スタリ・ラスとソポチャニ,Stari Ras and Sopoćani,文化遺産,Serbia,RS,Europe and North America,43.11889,20.42278,https://whc.unesco.org/document/218330,Stari Ras and Sopoćani - Monastery Sopoćani,https://whc.unesco.org/en/list/96
97,スプリットの史跡群とディオクレティアヌス宮殿,Historical Complex of Split with the Palace of Diocletian,文化遺産,Croatia,HR,Europe and North America,43.50888889,16.43916667,https://whc.unesco.org/document/124205,Historical Complex of Split with the Palace of Diocletian (Croatia),https://whc.unesco.org/en/list/97
98,プリトヴィッチェ湖群国立公園,Plitvice Lakes National Park,自然遺産,Croatia,HR,Europe and North America,44.87778,15.61444,https://whc.unesco.org/document/108856,Plitvice Lakes National Park (Croatia),https://whc.unesco.org/en/list/98
99,オフリド地域の自然遺産及び文化遺産,Natural and Cultural Heritage of the Ohrid region,複合遺産,"North Macedonia,Albania","MK, AL",Europe and North America,40.99183333,20.70416667,https://whc.unesco.org/document/108890,Natural and Cultural Heritage of the Ohrid region (North Macedonia),https://whc.unesco.org/en/list/99
100,ドゥルミトル国立公園,Durmitor National Park,自然遺産,Montenegro,ME,Europe and North America,43.133,19.0166,https://whc.unesco.org/document/222621,"Durmitor National Park, Crno jezero",https://whc.unesco.org/en/list/100
102,ベニ・ハンマド要塞,Al Qal'a of Beni Hammad,文化遺産,Algeria,DZ,Arab States,35.81844,4.78684,https://whc.unesco.org/document/108942,"The ruins of Al Qal'a of Beni Hammad, the first capital of the Hammadid emirs, founded in 1007 and demolished in 1152.",https://whc.unesco.org/en/list/102
111,,Bale Mountains National Park,自然遺産,Ethiopia,ET,Africa,6.797777778,39.74888889,https://whc.unesco.org/document/192164,The Sanetti Plateau in Bale Mountains,https://whc.unesco.org/en/list/111
113,チョガ・ザンビール,Tchogha Zanbil,文化遺産,Iran (Islamic Republic of),IR,Asia and the Pacific,32.00857,48.522118,https://whc.unesco.org/document/125557,Tchogha Zanbil,https://whc.unesco.org/en/list/113
114,ペルセポリス,Persepolis,文化遺産,Iran (Islamic Republic of),IR,Asia and the Pacific,29.93444,52.89028,https://whc.unesco.org/document/107874,Persepolis (Iran (Islamic Republic of)),https://whc.unesco.org/en/list/114
115,イスファハンのイマーム広場,"Meidan Emam, Esfahan",文化遺産,Iran (Islamic Republic of),IR,Asia and the Pacific,32.65745,51.67777778,https://whc.unesco.org/document/107913,"Meidan Emam, Esfahan (Iran (Islamic Republic of))",https://whc.unesco.org/en/list/115
116,ジェンネ旧市街,Old Towns of Djenné,文化遺産,Mali,ML,Africa,13.90639,-4.555,https://whc.unesco.org/document/107919,Old Towns of Djenné (Mali),https://whc.unesco.org/en/list/116
119,トンブクトゥ,Timbuktu,文化遺産,Mali,ML,Africa,16.77333333,-2.999444444,https://whc.unesco.org/document/107971,Timbuktu (Mali),https://whc.unesco.org/en/list/119
120,サガルマータ国立公園,Sagarmatha National Park,自然遺産,Nepal,NP,Asia and the Pacific,27.96528,86.91306,https://whc.unesco.org/document/107987,Sagarmatha National Park (Nepal),https://whc.unesco.org/en/list/120
121,カトマンズの谷,Kathmandu Valley,文化遺産,Nepal,NP,Asia and the Pacific,27.70395,85.30858,https://whc.unesco.org/document/108018,Kathmandu Valley (Nepal),https://whc.unesco.org/en/list/121
124,古都オウロ・プレト,Historic Town of Ouro Preto,文化遺産,Brazil,BR,Latin America and the Caribbean,-20.38888889,-43.50555556,https://whc.unesco.org/document/108037,"Colonial houses; City of Ouro Preto, State of Minas Gerais; Brazil; UNESCO World Heritage SiteMaisons coloniales; Ville de Ouro Preto; Etat de Minas Gerais; Brésil; Site du Patrimoine Mondial de l’UNESCOKolonialhäuser der Stadt Ouro Preto; Staat Minas Gerais; Brasilien; Welterbe UNESCO",https://whc.unesco.org/en/list/124
125,コトルの自然と文化-歴史地域,Natural and Culturo-Historical Region of Kotor,文化遺産,Montenegro,ME,Europe and North America,42.48333,18.7,https://whc.unesco.org/document/120458,Natural and Culturo-Historical Region of Kotor (Montenegro),https://whc.unesco.org/en/list/125
129,コパンのマヤ遺跡,Maya Site of Copan,文化遺産,Honduras,HN,Latin America and the Caribbean,14.85,-89.13333,https://whc.unesco.org/document/108084,Maya Site of Copan,https://whc.unesco.org/en/list/129
130,ハル・サフリエニ地下墳墓,Ħal Saflieni Hypogeum,文化遺産,Malta,MT,Europe and North America,35.86959,14.50688337,https://whc.unesco.org/document/108086,Hal Saflieni Hypogeum,https://whc.unesco.org/en/list/130
131,ヴァレッタ市街,City of Valletta,文化遺産,Malta,MT,Europe and North America,35.90056,14.51444,https://whc.unesco.org/document/222935,City of Valletta,https://whc.unesco.org/en/list/131
132,マルタの巨石神殿群,Megalithic Temples of Malta,文化遺産,Malta,MT,Europe and North America,36.04908,14.26947,https://whc.unesco.org/document/108126,"The Megalithic Temples of Malta, Hagar Qim",https://whc.unesco.org/en/list/132
134,レッドウッド国立及び州立公園,Redwood National and State Parks,自然遺産,United States of America,US,Europe and North America,41.37388889,-123.9980556,https://whc.unesco.org/document/108161,False Klamath,https://whc.unesco.org/en/list/134
135,パナマのカリブ海沿岸の要塞群:ポルトベロとサン・ロレンソ,Fortifications on the Caribbean Side of Panama: Portobelo-San Lorenzo,文化遺産,Panama,PA,Latin America and the Caribbean,9.553888889,-79.65583333,https://whc.unesco.org/document/108167,Fortifications on the Caribbean Side of Panama: Portobelo-San Lorenzo (Panama),https://whc.unesco.org/en/list/135
136,ガランバ国立公園,Garamba National Park,自然遺産,Democratic Republic of the Congo,CD,Africa,,,https://whc.unesco.org/document/225843,(Renomination 2026) Kordofan Giraffe,https://whc.unesco.org/en/list/136
137,カフジ-ビエガ国立公園,Kahuzi-Biega National Park,自然遺産,Democratic Republic of the Congo,CD,Africa,-2.334053,28.180743,https://whc.unesco.org/document/108207,Gorilla called Ninja. Kahuzi-Biega National Park (Democratic Republic of the Congo),https://whc.unesco.org/en/list/137
138,モヘンジョダロの遺跡群,Archaeological Ruins at Moenjodaro,文化遺産,Pakistan,PK,Asia and the Pacific,27.32916667,68.13888889,https://whc.unesco.org/document/108221,Archaeological Ruins at Moenjodaro (Pakistan),https://whc.unesco.org/en/list/138
139,タキシラ,Taxila,文化遺産,Pakistan,PK,Asia and the Pacific,33.77916667,72.8875,https://whc.unesco.org/document/118302,Taxila,https://whc.unesco.org/en/list/139
140,タフティ-バヒーの仏教遺跡群とサライ-バロールの近隣都市遺跡群,Buddhist Ruins of Takht-i-Bahi and Neighbouring City Remains at Sahr-i-Bahlol,文化遺産,Pakistan,PK,Asia and the Pacific,34.32083333,71.94583333,,,https://whc.unesco.org/en/list/140
143,タッターの文化財,"Historical Monuments at Makli, Thatta",文化遺産,Pakistan,PK,Asia and the Pacific,24.76666667,67.9,https://whc.unesco.org/document/108247,View of Nizam al-Din Tomb with polygon pavilion,https://whc.unesco.org/en/list/143
144,キルワ・キシワニとソンゴ・ムナラの遺跡群,Ruins of Kilwa Kisiwani and Ruins of Songo Mnara,文化遺産,United Republic of Tanzania,TZ,Africa,-8.95778,39.52278,https://whc.unesco.org/document/108311,Songo Mnara,https://whc.unesco.org/en/list/144
145,ロス・グラシアレス,Los Glaciares National Park,自然遺産,Argentina,AR,Latin America and the Caribbean,-50,-73.24944,https://whc.unesco.org/document/121618,Los Glaciares National Park (Argentina),https://whc.unesco.org/en/list/145
147,カカドゥ国立公園,Kakadu National Park,複合遺産,Australia,AU,Asia and the Pacific,-12.83333333,132.8333333,https://whc.unesco.org/document/120285,Kakadu National Park,https://whc.unesco.org/en/list/147
148,エルサレムの旧市街とその城壁群,Old City of Jerusalem and its Walls,文化遺産,Jerusalem (Site proposed by Jordan),,Arab States,31.77777778,35.23166667,https://whc.unesco.org/document/108356,Old City of Jerusalem and its Walls,https://whc.unesco.org/en/list/148
149,キリグアの遺跡公園と遺跡群,Archaeological Park and Ruins of Quirigua,文化遺産,Guatemala,GT,Latin America and the Caribbean,15.27059,-89.04025,https://whc.unesco.org/document/125398,Archaeological Park and Ruins of Quirigua,https://whc.unesco.org/en/list/149
150,マンモス・ケーヴ国立公園,Mammoth Cave National Park,自然遺産,United States of America,US,Europe and North America,37.18722222,-86.10305556,https://whc.unesco.org/document/108405,Mammoth Cave National Park,https://whc.unesco.org/en/list/150
151,オリンピック国立公園,Olympic National Park,自然遺産,United States of America,US,Europe and North America,47.74833333,-123.4488889,https://whc.unesco.org/document/108407,Olympic National Park,https://whc.unesco.org/en/list/151
153,ニオコロ-コバ国立公園,Niokolo-Koba National Park,自然遺産,Senegal,SN,Africa,13.011,-13.018,https://whc.unesco.org/document/131339,Niokolo-Koba National Park (Senegal),https://whc.unesco.org/en/list/153
154,グレート・バリア・リーフ,Great Barrier Reef,自然遺産,Australia,AU,Asia and the Pacific,-18.28611111,147.7,https://whc.unesco.org/document/108419,Great Barrier Reef (Australia),https://whc.unesco.org/en/list/154
155,ニンバ山厳正自然保護区,Mount Nimba Strict Nature Reserve,自然遺産,"Guinea,Côte d'Ivoire","GN, CI",Africa,7.60318,-8.39097,https://whc.unesco.org/document/183873,Mount Nimba,https://whc.unesco.org/en/list/155
156,セレンゲティ国立公園,Serengeti National Park,自然遺産,United Republic of Tanzania,TZ,Africa,-2.33333,34.56667,https://whc.unesco.org/document/108454,"Serengeti National Park (United Republic of Tanzania), Zebra",https://whc.unesco.org/en/list/156
157,スカン・グアイ(アンソニー島),S<U>G</U>ang Gwaay,文化遺産,Canada,CA,Europe and North America,52.095,-131.2202778,https://whc.unesco.org/document/108507,SGang Gwaay,https://whc.unesco.org/en/list/157
158,ヘッド-スマッシュト-イン・バッファロー・ジャンプ,Head-Smashed-In Buffalo Jump,文化遺産,Canada,CA,Europe and North America,49.70840556,-113.6520528,https://whc.unesco.org/document/119572,Head-Smashed-In Buffalo Jump,https://whc.unesco.org/en/list/158
159,ダリエン国立公園,Darien National Park,自然遺産,Panama,PA,Latin America and the Caribbean,7.736111111,-77.54722222,https://whc.unesco.org/document/108513,Darien National Park (Panama),https://whc.unesco.org/en/list/159
160,フォンテーヌブロー(フォンテンブロー)の宮殿と庭園,Palace and Park of Fontainebleau,文化遺産,France,FR,Europe and North America,48.40194444,2.698055556,https://whc.unesco.org/document/108521,Palace and Park of Fontainebleau (France),https://whc.unesco.org/en/list/160
162,アミアン大聖堂,Amiens Cathedral,文化遺産,France,FR,Europe and North America,49.895,2.301666667,https://whc.unesco.org/document/108547,Amiens Cathedral (France),https://whc.unesco.org/en/list/162
163,オランジュのローマ劇場とその周辺及び「凱旋門」,Roman Theatre and its Surroundings and the Triumphal Arch of Orange,文化遺産,France,FR,Europe and North America,44.13572222,4.808416667,https://whc.unesco.org/document/108576,Roman Theatre and its Surroundings and the Triumphal Arch of Orange (France),https://whc.unesco.org/en/list/163
164,アルル、ローマ遺跡とロマネスク様式建造物群,"Arles, Roman and Romanesque Monuments",文化遺産,France,FR,Europe and North America,43.67763889,4.630694444,https://whc.unesco.org/document/223264,"Arles, Roman and Romanesque Monuments - Saint-Trophime Church",https://whc.unesco.org/en/list/164
165,フォントネーのシトー会修道院,Cistercian Abbey of Fontenay,文化遺産,France,FR,Europe and North America,47.63944,4.38911,https://whc.unesco.org/document/108649,Cistercian Abbey of Fontenay (France),https://whc.unesco.org/en/list/165
166,シドニー・オペラハウス,Sydney Opera House,文化遺産,Australia,AU,Asia and the Pacific,-33.85666667,151.2152778,https://whc.unesco.org/document/108673,View from the air towards the south east. Sydney Opera House (Australia),https://whc.unesco.org/en/list/166
167,ウィランドラ湖群地域,Willandra Lakes Region,複合遺産,Australia,AU,Asia and the Pacific,-34,143,https://whc.unesco.org/document/118604,Willandra Lakes Region,https://whc.unesco.org/en/list/167
168,シュパイヤー大聖堂,Speyer Cathedral,文化遺産,Germany,DE,Europe and North America,49.31722222,8.442388889,https://whc.unesco.org/document/108714,Speyer Cathedral (Germany),https://whc.unesco.org/en/list/168
169,ヴュルツブルク司教館、その庭園群と広場,Würzburg Residence with the Court Gardens and Residence Square,文化遺産,Germany,DE,Europe and North America,49.79278,9.93889,https://whc.unesco.org/document/108739,Würzburg Residence with the Court Gardens and Residence Square (Germany),https://whc.unesco.org/en/list/169
170,フェス旧市街,Medina of Fez,文化遺産,Morocco,MA,Arab States,34.06111,-4.97778,https://whc.unesco.org/document/108782,Panoramic view,https://whc.unesco.org/en/list/170
171,ラホールの城塞とシャーリマール庭園,Fort and Shalamar Gardens in Lahore,文化遺産,Pakistan,PK,Asia and the Pacific,31.59027778,74.30972222,https://whc.unesco.org/document/122523,Fort and Shalamar Gardens in Lahore,https://whc.unesco.org/en/list/171
173,ザンジバル島のストーン・タウン,Stone Town of Zanzibar,文化遺産,United Republic of Tanzania,TZ,Africa,-6.16306,39.18917,https://whc.unesco.org/document/108828,Stone Town - Former Ishnashri Dispensary,https://whc.unesco.org/en/list/173
