都道府県_観測地点,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年間合計
千葉県（千葉）,23.1,18.5,17.5,16.8,16.5,11.0,12.8,15.8,11.5,13.5,17.1,22.1,196.2
東京都（東京）,24.1,19.8,18.2,17.1,16.8,11.3,12.8,15.2,11.5,14.3,18.2,23.3,202.6
神奈川県（横浜）,23.2,18.8,17.8,16.8,16.5,11.1,12.8,15.5,11.8,14.0,17.5,22.5,198.3
新潟県（新潟）,3.8,5.2,11.8,17.2,19.1,16.3,14.8,19.2,14.5,14.2,8.5,3.9,148.5
富山県（富山）,4.5,6.2,12.1,17.1,18.8,14.2,14.0,18.1,13.8,14.8,9.8,5.1,148.5
石川県（金沢）,4.8,6.8,12.8,17.5,19.1,14.5,14.5,18.8,14.2,15.2,10.1,5.5,153.8
福井県（福井）,5.2,7.1,13.2,17.8,19.2,14.1,14.8,18.5,13.8,15.5,10.5,5.8,155.5
山梨県（甲府）,23.8,19.5,19.1,18.2,18.0,12.1,13.8,16.2,12.1,15.2,18.8,23.2,210.0
長野県（長野）,12.5,12.8,16.2,18.1,18.5,13.5,14.1,16.5,12.8,15.8,14.2,11.8,176.8
岐阜県（岐阜）,18.2,16.1,18.2,18.2,18.5,12.8,14.2,17.5,13.1,16.5,16.8,18.1,188.2
静岡県（静岡）,24.5,20.1,19.0,17.8,17.2,11.5,13.1,16.2,12.1,15.1,18.8,23.8,209.2
愛知県（名古屋）,20.2,17.5,18.6,18.1,18.3,12.5,14.8,18.1,13.2,16.8,18.1,20.0,206.2
三重県（津）,20.5,17.2,18.5,18.0,18.1,12.5,14.5,18.2,13.2,16.5,17.8,20.1,205.1
滋賀県（彦根）,11.2,11.5,15.8,18.0,18.8,13.2,15.1,18.8,13.5,16.2,13.8,11.2,167.1
京都府（京都）,13.8,13.1,16.8,18.1,18.5,12.8,15.2,18.5,13.5,16.8,15.2,14.2,180.5
大阪府（大阪）,17.5,15.2,17.8,18.2,18.9,13.1,16.2,19.8,14.1,17.2,17.1,17.8,202.9
兵庫県（神戸）,18.2,15.8,18.1,18.5,19.1,13.5,16.5,20.1,14.5,17.8,17.5,18.2,207.8
奈良県（奈良）,16.1,14.2,17.1,17.8,18.2,12.5,15.1,18.8,13.2,16.5,16.1,16.2,191.8
和歌山県（和歌山）,18.5,15.8,18.2,18.2,18.8,13.2,16.2,19.8,14.2,17.5,17.2,18.5,206.1
鳥取県（鳥取）,5.2,6.8,13.2,17.5,19.1,13.8,15.2,19.2,13.8,15.8,10.2,6.1,155.9
島根県（松江）,5.8,7.2,13.8,17.8,19.2,13.5,15.0,19.5,14.1,16.2,10.8,6.8,158.9
岡山県（岡山）,19.5,16.8,18.8,18.5,19.2,13.8,16.8,20.5,14.8,18.2,18.0,19.5,214.4
広島県（広島）,17.2,14.8,17.5,18.0,18.8,12.8,15.5,19.2,14.8,18.1,17.2,17.5,201.4
山口県（下関）,12.8,12.5,16.2,17.5,18.5,12.5,15.2,18.8,15.0,18.2,15.5,13.5,176.2
徳島県（徳島）,19.2,16.5,18.2,18.2,18.8,13.2,16.5,20.2,14.2,17.8,17.5,19.1,209.4
香川県（高松）,18.9,16.1,18.5,18.8,19.5,13.8,17.2,21.1,15.2,18.5,18.0,19.2,214.8
愛媛県（松山）,16.8,14.5,17.5,18.1,18.8,13.1,16.8,20.5,15.1,18.2,16.8,17.2,203.4
高知県（高知）,21.2,17.5,18.2,17.8,17.2,11.5,15.2,18.2,13.2,17.8,18.2,21.2,207.2
福岡県（福岡）,11.2,11.8,15.8,17.2,18.1,12.2,14.5,17.8,14.5,18.2,15.1,12.1,178.5
佐賀県（佐賀）,13.2,13.1,16.5,17.5,18.2,11.8,14.8,18.2,14.8,18.8,16.1,14.1,176.1
長崎県（長崎）,12.8,12.8,16.1,17.1,17.5,11.2,14.2,17.8,15.1,18.5,15.8,13.8,172.7
熊本県（熊本）,14.5,13.8,16.8,17.5,17.8,11.2,14.8,18.5,15.2,18.8,16.5,15.2,180.6
大分県（大分）,16.8,14.8,17.2,17.8,18.1,12.1,15.2,18.5,14.1,17.8,16.5,17.1,186.0
宮崎県（宮崎）,21.5,17.2,17.8,17.2,16.5,10.8,15.5,17.2,13.5,17.8,18.1,21.2,204.3
鹿児島県（鹿児島）,15.1,13.8,15.8,16.2,15.8,10.1,15.2,18.1,15.2,19.1,17.2,16.5,178.1
沖縄県（那覇）,8.1,8.5,11.2,12.5,13.1,15.2,22.1,20.5,18.2,17.5,12.8,9.5,169.2
